"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","18537331","62723485","62723485","11399.9995","11399.9995","2023"
"AUTOMOBILE","INBOUND","11138676","211205852","105602926","38386.684","19193.342","2023"
"AUTOMOBILE","OUTBOUND","11188978","205563488","102781744","37361.1838","18680.5919","2023"
"AUTOMOBILE","TOTAL","40864985","479492825","271108155","87147.8673","49273.9334","2023"
"BUS","IN-BOUNDARY","740224","2866294","2866294","1848.9805","1848.9805","2023"
"BUS","INBOUND","1617617","13622141","6811070.5","8787.3304","4393.6652","2023"
"BUS","OUTBOUND","1615910","12896105","6448052.5","8318.9813","4159.4906","2023"
"BUS","TOTAL","3973751","29384540","16125417","18955.2921","10402.1363","2023"
"CYCLING","IN-BOUNDARY","1221402","3216368","3216368","0","0","2023"
"CYCLING","INBOUND","566267","3655358","1827679","0","0","2023"
"CYCLING","OUTBOUND","582695","3722173","1861086.5","0","0","2023"
"CYCLING","TOTAL","2370364","10593899","6905133.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","15392848","15348292","15348292","0","0","2023"
"ON FOOT","INBOUND","1179790","2306786","1153393","0","0","2023"
"ON FOOT","OUTBOUND","1181770","2448463","1224231.5","0","0","2023"
"ON FOOT","TOTAL","17754408","20103541","17725916.5","0","0","2023"
"RAIL","INBOUND","1182222","13461886","6730943","0","0","2023"
"RAIL","OUTBOUND","1250571","13453942","6726971","0","0","2023"
"RAIL","TOTAL","2432793","26915828","13457914","0","0","2023"
