"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","6971510","24413096","24413096","4437.0826","4437.0826","2023"
"AUTOMOBILE","INBOUND","13328069","261019791","130509895.5","47440.3723","23720.1861","2023"
"AUTOMOBILE","OUTBOUND","13887749","255512743","127756371.5","46439.4658","23219.7329","2023"
"AUTOMOBILE","TOTAL","34187328","540945630","282679363","98316.9206","51377.0016","2023"
"BUS","IN-BOUNDARY","1914481","5749581","5749581","3708.9227","3708.9227","2023"
"BUS","TOTAL","1914481","5749581","5749581","3708.9227","3708.9227","2023"
"CYCLING","IN-BOUNDARY","2693621","7294008","7294008","0","0","2023"
"CYCLING","INBOUND","2334957","11841578","5920789","0","0","2023"
"CYCLING","OUTBOUND","2284275","11821192","5910596","0","0","2023"
"CYCLING","TOTAL","7312853","30956778","19125393","0","0","2023"
"ON FOOT","IN-BOUNDARY","53991421","41572728","41572728","0","0","2023"
"ON FOOT","INBOUND","13210819","19936670","9968335","0","0","2023"
"ON FOOT","OUTBOUND","12241758","18559654","9279827","0","0","2023"
"ON FOOT","TOTAL","79443998","80069052","60820890","0","0","2023"
"RAIL","INBOUND","2307936","37038550","18519275","0","0","2023"
"RAIL","OUTBOUND","2313210","33055840","16527920","0","0","2023"
"RAIL","TOTAL","4621146","70094390","35047195","0","0","2023"
"TRAM","IN-BOUNDARY","523089","1284019","1284019","0","0","2023"
"TRAM","TOTAL","523089","1284019","1284019","0","0","2023"
