"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","6762047","26811674","26811674","4873.0243","4873.0243","2023"
"AUTOMOBILE","INBOUND","15493843","324667689","162333844.5","59008.3839","29504.1919","2023"
"AUTOMOBILE","OUTBOUND","16110886","322157374","161078687","58552.1339","29276.0669","2023"
"AUTOMOBILE","TOTAL","38366776","673636737","350224205.5","122433.5421","63653.2832","2023"
"BUS","IN-BOUNDARY","3270914","9331350","9331350","6019.4396","6019.4396","2023"
"BUS","INBOUND","9519280","130129462","65064731","83943.5283","41971.7641","2023"
"BUS","OUTBOUND","9420881","132493719","66246859.5","85468.6562","42734.3281","2023"
"BUS","TOTAL","22211075","271954531","140642940.5","175431.6241","90725.5319","2023"
"CYCLING","IN-BOUNDARY","3217492","10342198","10342198","0","0","2023"
"CYCLING","INBOUND","2390221","12137885","6068942.5","0","0","2023"
"CYCLING","OUTBOUND","2362278","12299259","6149629.5","0","0","2023"
"CYCLING","TOTAL","7969991","34779342","22560770","0","0","2023"
"ON FOOT","IN-BOUNDARY","95240458","76800146","76800146","0","0","2023"
"ON FOOT","INBOUND","7158545","14255223","7127611.5","0","0","2023"
"ON FOOT","OUTBOUND","6701171","12916005","6458002.5","0","0","2023"
"ON FOOT","TOTAL","109100174","103971374","90385760","0","0","2023"
"RAIL","INBOUND","4799680","242388168","121194084","0","0","2023"
"RAIL","OUTBOUND","4754268","246940347","123470173.5","0","0","2023"
"RAIL","TOTAL","9553948","489328515","244664257.5","0","0","2023"
"TRAM","IN-BOUNDARY","2413197","5241967","5241967","0","0","2023"
"TRAM","INBOUND","3384407","28310485","14155242.5","0","0","2023"
"TRAM","OUTBOUND","3221538","26047188","13023594","0","0","2023"
"TRAM","TOTAL","9019142","59599640","32420803.5","0","0","2023"
