"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","6810822","23404147","23404147","4253.706","4253.706","2023"
"AUTOMOBILE","INBOUND","13825057","295724213","147862106.5","53747.9043","26873.9522","2023"
"AUTOMOBILE","OUTBOUND","13760510","280852342","140426171","51044.9403","25522.4702","2023"
"AUTOMOBILE","TOTAL","34396389","599980702","311692424.5","109046.5506","56650.1283","2023"
"BUS","IN-BOUNDARY","1812347","5303926","5303926","3421.4409","3421.4409","2023"
"BUS","TOTAL","1812347","5303926","5303926","3421.4409","3421.4409","2023"
"CYCLING","IN-BOUNDARY","2156093","6394163","6394163","0","0","2023"
"CYCLING","INBOUND","1910718","9519774","4759887","0","0","2023"
"CYCLING","OUTBOUND","1926957","9449437","4724718.5","0","0","2023"
"CYCLING","TOTAL","5993768","25363374","15878768.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","47773216","35459801","35459801","0","0","2023"
"ON FOOT","INBOUND","11714175","17939580","8969790","0","0","2023"
"ON FOOT","OUTBOUND","12411212","18245011","9122505.5","0","0","2023"
"ON FOOT","TOTAL","71898603","71644392","53552096.5","0","0","2023"
"RAIL","INBOUND","2651296","94836676","47418338","0","0","2023"
"RAIL","OUTBOUND","2421332","88228585","44114292.5","0","0","2023"
"RAIL","TOTAL","5072628","183065261","91532630.5","0","0","2023"
"TRAM","IN-BOUNDARY","1838017","3951578","3951578","0","0","2023"
"TRAM","TOTAL","1838017","3951578","3951578","0","0","2023"
