"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","2693440","8027515","8027515","1459.0016","1459.0016","2023"
"AUTOMOBILE","INBOUND","4958344","67152805","33576402.5","12205.0288","6102.5144","2023"
"AUTOMOBILE","OUTBOUND","5000665","65726984","32863492","11945.8857","5972.9429","2023"
"AUTOMOBILE","TOTAL","12652449","140907304","74467409.5","25609.9161","13534.4589","2023"
"BUS","IN-BOUNDARY","218474","643888","643888","415.3574","415.3574","2023"
"BUS","INBOUND","590018","5238858","2619429","3379.467","1689.7335","2023"
"BUS","OUTBOUND","609728","5266595","2633297.5","3397.3595","1698.6798","2023"
"BUS","TOTAL","1418220","11149341","5896614.5","7192.1839","3803.7706","2023"
"CYCLING","INBOUND","311055","1647007","823503.5","0","0","2023"
"CYCLING","OUTBOUND","309113","1625128","812564","0","0","2023"
"CYCLING","TOTAL","620168","3272135","1636067.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","7107397","5596262","5596262","0","0","2023"
"ON FOOT","INBOUND","1134535","1820073","910036.5","0","0","2023"
"ON FOOT","OUTBOUND","1096273","1784798","892399","0","0","2023"
"ON FOOT","TOTAL","9338205","9201133","7398697.5","0","0","2023"
"RAIL","INBOUND","890862","9884071","4942035.5","0","0","2023"
"RAIL","OUTBOUND","886311","9560182","4780091","0","0","2023"
"RAIL","TOTAL","1777173","19444253","9722126.5","0","0","2023"
