"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","13329941","47419641","47419641","8618.5243","8618.5243","2023"
"AUTOMOBILE","INBOUND","9936166","188335108","94167554","34229.9241","17114.9621","2023"
"AUTOMOBILE","OUTBOUND","9918809","185515683","92757841.5","33717.4933","16858.7467","2023"
"AUTOMOBILE","TOTAL","33184916","421270432","234345036.5","76565.9418","42592.2331","2023"
"BUS","IN-BOUNDARY","746181","2972422","2972422","1917.4412","1917.4412","2023"
"BUS","INBOUND","999164","10532717","5266358.5","6794.4139","3397.207","2023"
"BUS","OUTBOUND","1017979","10621821","5310910.5","6851.8929","3425.9464","2023"
"BUS","TOTAL","2763324","24126960","13549691","15563.748","8740.5946","2023"
"CYCLING","IN-BOUNDARY","1050264","2629966","2629966","0","0","2023"
"CYCLING","INBOUND","392728","2911252","1455626","0","0","2023"
"CYCLING","OUTBOUND","396711","2893273","1446636.5","0","0","2023"
"CYCLING","TOTAL","1839703","8434491","5532228.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","15546282","14517991","14517991","0","0","2023"
"ON FOOT","INBOUND","1033814","1809821","904910.5","0","0","2023"
"ON FOOT","OUTBOUND","1032868","1932790","966395","0","0","2023"
"ON FOOT","TOTAL","17612964","18260602","16389296.5","0","0","2023"
"RAIL","IN-BOUNDARY","276601","1424329","1424329","0","0","2023"
"RAIL","INBOUND","1320229","16024635","8012317.5","0","0","2023"
"RAIL","OUTBOUND","1362225","15970706","7985353","0","0","2023"
"RAIL","TOTAL","2959055","33419670","17421999.5","0","0","2023"
"TRAM","INBOUND","357046","3905942","1952971","0","0","2023"
"TRAM","OUTBOUND","349023","4454999","2227499.5","0","0","2023"
"TRAM","TOTAL","706069","8360941","4180470.5","0","0","2023"
