"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","10854317","38740983","38740983","7041.1774","7041.1774","2023"
"AUTOMOBILE","INBOUND","6963285","138986771","69493385.5","25260.8591","12630.4295","2023"
"AUTOMOBILE","OUTBOUND","6986677","136412745","68206372.5","24793.0296","12396.5148","2023"
"AUTOMOBILE","TOTAL","24804279","314140499","176440741","57095.0661","32068.1217","2023"
"BUS","IN-BOUNDARY","340655","1201100","1201100","774.802","774.802","2023"
"BUS","INBOUND","545852","6948479","3474239.5","4482.3043","2241.1521","2023"
"BUS","OUTBOUND","544763","6872717","3436358.5","4433.4319","2216.716","2023"
"BUS","TOTAL","1431270","15022296","8111698","9690.5383","5232.6701","2023"
"CYCLING","IN-BOUNDARY","353665","917580","917580","0","0","2023"
"CYCLING","TOTAL","353665","917580","917580","0","0","2023"
"ON FOOT","IN-BOUNDARY","7751338","7570647","7570647","0","0","2023"
"ON FOOT","INBOUND","131662","404740","202370","0","0","2023"
"ON FOOT","OUTBOUND","139131","413426","206713","0","0","2023"
"ON FOOT","TOTAL","8022131","8388813","7979730","0","0","2023"
"RAIL","INBOUND","443694","6816600","3408300","0","0","2023"
"RAIL","OUTBOUND","428423","6620926","3310463","0","0","2023"
"RAIL","TOTAL","872117","13437526","6718763","0","0","2023"
