"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","14315907","82143649","82143649","14929.6162","14929.6162","2023"
"AUTOMOBILE","INBOUND","17676637","533106178","266553089","96892.0994","48446.0497","2023"
"AUTOMOBILE","OUTBOUND","17265949","536861597","268430798.5","97574.6472","48787.3236","2023"
"AUTOMOBILE","TOTAL","49258493","1152111424","617127536.5","209396.3628","112162.9895","2023"
"BUS","IN-BOUNDARY","258301","2143629","2143629","1382.8059","1382.8059","2023"
"BUS","TOTAL","258301","2143629","2143629","1382.8059","1382.8059","2023"
"CYCLING","IN-BOUNDARY","446608","1287989","1287989","0","0","2023"
"CYCLING","TOTAL","446608","1287989","1287989","0","0","2023"
"ON FOOT","IN-BOUNDARY","8748169","8231492","8231492","0","0","2023"
"ON FOOT","INBOUND","640070","1099808","549904","0","0","2023"
"ON FOOT","OUTBOUND","704957","1250937","625468.5","0","0","2023"
"ON FOOT","TOTAL","10093196","10582237","9406864.5","0","0","2023"
"RAIL","INBOUND","428146","14997634","7498817","0","0","2023"
"RAIL","OUTBOUND","434894","13379121","6689560.5","0","0","2023"
"RAIL","TOTAL","863040","28376755","14188377.5","0","0","2023"
