"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","22468408","87475260","87475260","15898.637","15898.637","2023"
"AUTOMOBILE","INBOUND","18933521","393343855","196671927.5","71490.2837","35745.1419","2023"
"AUTOMOBILE","OUTBOUND","18895436","410768547","205384273.5","74657.2232","37328.6116","2023"
"AUTOMOBILE","TOTAL","60297365","891587662","489531461","162046.1438","88972.3904","2023"
"BUS","IN-BOUNDARY","775183","2917205","2917205","1881.822","1881.822","2023"
"BUS","INBOUND","1398435","15996001","7998000.5","10318.653","5159.3265","2023"
"BUS","OUTBOUND","1440333","15926230","7963115","10273.6453","5136.8227","2023"
"BUS","TOTAL","3613951","34839436","18878320.5","22474.1203","12177.9711","2023"
"CYCLING","IN-BOUNDARY","841549","2148082","2148082","0","0","2023"
"CYCLING","INBOUND","316922","2223335","1111667.5","0","0","2023"
"CYCLING","OUTBOUND","310357","2177933","1088966.5","0","0","2023"
"CYCLING","TOTAL","1468828","6549350","4348716","0","0","2023"
"ON FOOT","IN-BOUNDARY","13082569","11894214","11894214","0","0","2023"
"ON FOOT","INBOUND","852772","1461490","730745","0","0","2023"
"ON FOOT","OUTBOUND","844785","1538705","769352.5","0","0","2023"
"ON FOOT","TOTAL","14780126","14894409","13394311.5","0","0","2023"
"TRAM","INBOUND","464545","4493655","2246827.5","0","0","2023"
"TRAM","OUTBOUND","481460","5196638","2598319","0","0","2023"
"TRAM","TOTAL","946005","9690293","4845146.5","0","0","2023"
