"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","7669929","21793531","21793531","3960.9764","3960.9764","2023"
"AUTOMOBILE","INBOUND","9708409","126579868","63289934","23005.9033","11502.9516","2023"
"AUTOMOBILE","OUTBOUND","9705669","123340437","61670218.5","22417.1364","11208.5682","2023"
"AUTOMOBILE","TOTAL","27084007","271713836","146753683.5","49384.016","26672.4962","2023"
"BUS","IN-BOUNDARY","445888","1291145","1291145","832.888","832.888","2023"
"BUS","INBOUND","1651244","11228692","5614346","7243.3714","3621.6857","2023"
"BUS","OUTBOUND","1759937","11765453","5882726.5","7589.6236","3794.8118","2023"
"BUS","TOTAL","3857069","24285290","12788217.5","15665.883","8249.3855","2023"
"CYCLING","IN-BOUNDARY","487311","1034921","1034921","0","0","2023"
"CYCLING","INBOUND","472489","2370693","1185346.5","0","0","2023"
"CYCLING","OUTBOUND","467540","2338305","1169152.5","0","0","2023"
"CYCLING","TOTAL","1427340","5743919","3389420","0","0","2023"
"ON FOOT","IN-BOUNDARY","7661869","6238939","6238939","0","0","2023"
"ON FOOT","INBOUND","1235888","1890023","945011.5","0","0","2023"
"ON FOOT","OUTBOUND","1209204","1965729","982864.5","0","0","2023"
"ON FOOT","TOTAL","10106961","10094691","8166815","0","0","2023"
