"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","12512689","41304453","41304453","7507.0883","7507.0883","2023"
"AUTOMOBILE","INBOUND","12628169","217898182","108949091","39603.0157","19801.5078","2023"
"AUTOMOBILE","OUTBOUND","12549627","209933882","104966941","38155.5034","19077.7517","2023"
"AUTOMOBILE","TOTAL","37690485","469136517","255220485","85265.6074","46386.3478","2023"
"BUS","IN-BOUNDARY","464909","1585371","1585371","1022.6864","1022.6864","2023"
"BUS","INBOUND","1102006","10466157","5233078.5","6751.4776","3375.7388","2023"
"BUS","OUTBOUND","1071142","9350386","4675193","6031.7193","3015.8597","2023"
"BUS","TOTAL","2638057","21401914","11493642.5","13805.8834","7414.2849","2023"
"CYCLING","IN-BOUNDARY","919966","2396483","2396483","0","0","2023"
"CYCLING","INBOUND","632877","3885549","1942774.5","0","0","2023"
"CYCLING","OUTBOUND","629278","3937820","1968910","0","0","2023"
"CYCLING","TOTAL","2182121","10219852","6308167.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","13696693","12840617","12840617","0","0","2023"
"ON FOOT","INBOUND","1172744","2443057","1221528.5","0","0","2023"
"ON FOOT","OUTBOUND","1217072","2561413","1280706.5","0","0","2023"
"ON FOOT","TOTAL","16086509","17845087","15342852","0","0","2023"
"TRAM","IN-BOUNDARY","651927","2190630","2190630","0","0","2023"
"TRAM","INBOUND","1858022","16655950","8327975","0","0","2023"
"TRAM","OUTBOUND","1972115","16819031","8409515.5","0","0","2023"
"TRAM","TOTAL","4482064","35665611","18928120.5","0","0","2023"
