"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","2596254","7478982","7478982","1359.3057","1359.3057","2023"
"AUTOMOBILE","INBOUND","5497342","62868605","31434302.5","11426.375","5713.1875","2023"
"AUTOMOBILE","OUTBOUND","5454024","60711795","30355897.5","11034.3746","5517.1873","2023"
"AUTOMOBILE","TOTAL","13547620","131059382","69269182","23820.0554","12589.6805","2023"
"BUS","IN-BOUNDARY","185359","457355","457355","295.0292","295.0292","2023"
"BUS","INBOUND","1053151","5640902","2820451","3638.8164","1819.4082","2023"
"BUS","OUTBOUND","1131344","5789538","2894769","3734.698","1867.349","2023"
"BUS","TOTAL","2369854","11887795","6172575","7668.5436","3981.7864","2023"
"CYCLING","IN-BOUNDARY","504206","948613","948613","0","0","2023"
"CYCLING","INBOUND","812218","3408485","1704242.5","0","0","2023"
"CYCLING","OUTBOUND","816519","3411737","1705868.5","0","0","2023"
"CYCLING","TOTAL","2132943","7768835","4358724","0","0","2023"
"ON FOOT","IN-BOUNDARY","6214641","4695021","4695021","0","0","2023"
"ON FOOT","INBOUND","1915637","2975261","1487630.5","0","0","2023"
"ON FOOT","OUTBOUND","1903945","3003869","1501934.5","0","0","2023"
"ON FOOT","TOTAL","10034223","10674151","7684586","0","0","2023"
