"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","8687240","27866927","27866927","5064.8167","5064.8167","2023"
"AUTOMOBILE","INBOUND","12478199","194369848","97184924","35326.7387","17663.3693","2023"
"AUTOMOBILE","OUTBOUND","12424614","189231347","94615673.5","34392.8156","17196.4078","2023"
"AUTOMOBILE","TOTAL","33590053","411468122","219667524.5","74784.371","39924.5938","2023"
"BUS","IN-BOUNDARY","758798","2313740","2313740","1492.5406","1492.5406","2023"
"BUS","INBOUND","2410523","20214970","10107485","13040.213","6520.1065","2023"
"BUS","OUTBOUND","2476084","18245618","9122809","11769.8293","5884.9146","2023"
"BUS","TOTAL","5645405","40774328","21544034","26302.5829","13897.5617","2023"
"CYCLING","IN-BOUNDARY","1015808","2227029","2227029","0","0","2023"
"CYCLING","INBOUND","1281878","5964849","2982424.5","0","0","2023"
"CYCLING","OUTBOUND","1315370","6070027","3035013.5","0","0","2023"
"CYCLING","TOTAL","3613056","14261905","8244467","0","0","2023"
"ON FOOT","IN-BOUNDARY","15455481","11826830","11826830","0","0","2023"
"ON FOOT","INBOUND","4644264","7880950","3940475","0","0","2023"
"ON FOOT","OUTBOUND","4731119","8076706","4038353","0","0","2023"
"ON FOOT","TOTAL","24830864","27784486","19805658","0","0","2023"
"RAIL","INBOUND","1168850","138341268","69170634","0","0","2023"
"RAIL","OUTBOUND","1215788","147670615","73835307.5","0","0","2023"
"RAIL","TOTAL","2384638","286011883","143005941.5","0","0","2023"
"TRAM","IN-BOUNDARY","180205","516233","516233","0","0","2023"
"TRAM","TOTAL","180205","516233","516233","0","0","2023"
