"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","20573359","69455621","69455621","12623.5658","12623.5658","2023"
"AUTOMOBILE","INBOUND","15479158","262090416","131045208","47634.9585","23817.4792","2023"
"AUTOMOBILE","OUTBOUND","15473670","260448723","130224361.5","47336.5806","23668.2903","2023"
"AUTOMOBILE","TOTAL","51526187","591994760","330725190.5","107595.1049","60109.3354","2023"
"BUS","IN-BOUNDARY","569299","2015607","2015607","1300.2218","1300.2218","2023"
"BUS","INBOUND","1256188","13008259","6504129.5","8391.3292","4195.6646","2023"
"BUS","OUTBOUND","1270048","13050056","6525028","8418.2915","4209.1458","2023"
"BUS","TOTAL","3095535","28073922","15044764.5","18109.8425","9705.0322","2023"
"CYCLING","IN-BOUNDARY","821965","2212978","2212978","0","0","2023"
"CYCLING","INBOUND","529680","3280672","1640336","0","0","2023"
"CYCLING","OUTBOUND","525818","3284962","1642481","0","0","2023"
"CYCLING","TOTAL","1877463","8778612","5495795","0","0","2023"
"ON FOOT","IN-BOUNDARY","12295658","11527104","11527104","0","0","2023"
"ON FOOT","INBOUND","1044512","1752337","876168.5","0","0","2023"
"ON FOOT","OUTBOUND","1100311","1853563","926781.5","0","0","2023"
"ON FOOT","TOTAL","14440481","15133004","13330054","0","0","2023"
"TRAM","IN-BOUNDARY","253400","1064876","1064876","0","0","2023"
"TRAM","INBOUND","715864","6998020","3499010","0","0","2023"
"TRAM","OUTBOUND","691101","6249904","3124952","0","0","2023"
"TRAM","TOTAL","1660365","14312800","7688838","0","0","2023"
