"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","480421215","2594046084","2594046084","471468.1268","471468.1268","2023"
"AUTOMOBILE","IN-BOUNDARY","485285308","2666999658","2666999658","484727.4459","484727.4459","2022"
"AUTOMOBILE","IN-BOUNDARY","469996110","2461570197","2461570197","447390.6215","447390.6215","2021"
"AUTOMOBILE","IN-BOUNDARY","401364076","1994495225","1994495225","362499.7001","362499.7001","2020"
"AUTOMOBILE","IN-BOUNDARY","460335448","2824288748","2824288748","513314.7532","513314.7532","2019"
"AUTOMOBILE","IN-BOUNDARY","408036198","2839908808","2839908808","516153.708","516153.708","2018"
"AUTOMOBILE","INBOUND","111293442","3561757244","1780878622","647349.7237","323674.8619","2023"
"AUTOMOBILE","INBOUND","109042355","3494972219","1747486109.5","635211.539","317605.7695","2022"
"AUTOMOBILE","INBOUND","94369694","2819513017","1409756508.5","512446.7637","256223.3818","2021"
"AUTOMOBILE","INBOUND","76448884","2177663386","1088831693","395790.5311","197895.2656","2020"
"AUTOMOBILE","INBOUND","97089319","3235484208","1617742104","588049.5679","294024.7839","2019"
"AUTOMOBILE","INBOUND","87978183","3140583635","1570291817.5","570801.3877","285400.6939","2018"
"AUTOMOBILE","OUTBOUND","112343337","3447382043","1723691021.5","626562.0199","313281.0099","2023"
"AUTOMOBILE","OUTBOUND","109962885","3377597831","1688798915.5","613878.7326","306939.3663","2022"
"AUTOMOBILE","OUTBOUND","94496957","2703551474","1351775737","491370.742","245685.371","2021"
"AUTOMOBILE","OUTBOUND","77235575","2124387865","1062193932.5","386107.7","193053.85","2020"
"AUTOMOBILE","OUTBOUND","100145975","3248280908","1624140454","590375.3693","295187.6847","2019"
"AUTOMOBILE","OUTBOUND","90485521","3137481952","1568740976","570237.6565","285118.8283","2018"
"AUTOMOBILE","TOTAL","704057994","9603185371","6098615727.5","1745379.8704","1108423.9986","2023"
"AUTOMOBILE","TOTAL","704290548","9539569708","6103284683","1733817.7175","1109272.5817","2022"
"AUTOMOBILE","TOTAL","658862761","7984634688","5223102442.5","1451208.1271","949299.3743","2021"
"AUTOMOBILE","TOTAL","555048535","6296546476","4145520850.5","1144397.9313","753448.8157","2020"
"AUTOMOBILE","TOTAL","657570742","9308053864","6066171306","1691739.6904","1102527.2218","2019"
"AUTOMOBILE","TOTAL","586499902","9117974395","5978941601.5","1657192.7523","1086673.2302","2018"
"BUS","IN-BOUNDARY","61682301","355967257","355967257","229626.3048","229626.3048","2023"
"BUS","IN-BOUNDARY","52203070","315210776","315210776","203335.2347","203335.2347","2022"
"BUS","IN-BOUNDARY","30129510","193451417","193451417","124791.0676","124791.0676","2021"
"BUS","IN-BOUNDARY","30283692","189087020","189087020","121975.6953","121975.6953","2020"
"BUS","IN-BOUNDARY","61061118","401064209","401064209","258717.3132","258717.3132","2019"
"BUS","IN-BOUNDARY","56848231","326854146","326854146","210846.101","210846.101","2018"
"BUS","INBOUND","8418133","243561979","121780989.5","157116.2407","78558.1204","2023"
"BUS","INBOUND","7169461","215376931","107688465.5","138934.7133","69467.3567","2022"
"BUS","INBOUND","3868645","111087671","55543835.5","71660.1061","35830.053","2021"
"BUS","INBOUND","3993610","116265588","58132794","75000.2615","37500.1307","2020"
"BUS","INBOUND","8484545","303963996","151981998","196080.1951","98040.0975","2019"
"BUS","INBOUND","6124378","209353252","104676626","135048.9735","67524.4868","2018"
"BUS","OUTBOUND","8346192","242628620","121314310","156514.1522","78257.0761","2023"
"BUS","OUTBOUND","6982998","214139763","107069881.5","138136.6447","69068.3223","2022"
"BUS","OUTBOUND","3815542","113675489","56837744.5","73329.4481","36664.724","2021"
"BUS","OUTBOUND","4005473","119025516","59512758","76780.6277","38390.3138","2020"
"BUS","OUTBOUND","8505786","316525600","158262800","204183.3974","102091.6987","2019"
"BUS","OUTBOUND","5988014","212707123","106353561.5","137212.4787","68606.2393","2018"
"BUS","TOTAL","78446626","842157856","599062556.5","543256.6978","386441.5013","2023"
"BUS","TOTAL","66355529","744727470","529969123","480406.5927","341870.9137","2022"
"BUS","TOTAL","37813697","418214577","305832997","269780.6218","197285.8447","2021"
"BUS","TOTAL","38282775","424378124","306732572","273756.5845","197866.1399","2020"
"BUS","TOTAL","78051449","1021553805","711309007","658980.9057","458849.1094","2019"
"BUS","TOTAL","68960623","748914521","537884333.5","483107.5532","346976.8271","2018"
"CYCLING","IN-BOUNDARY","46175301","167687872","167687872","0","0","2023"
"CYCLING","IN-BOUNDARY","49677866","184166399","184166399","0","0","2022"
"CYCLING","IN-BOUNDARY","49301541","180970951","180970951","0","0","2021"
"CYCLING","IN-BOUNDARY","46445431","166240519","166240519","0","0","2020"
"CYCLING","IN-BOUNDARY","58741627","186184011","186184011","0","0","2019"
"CYCLING","IN-BOUNDARY","50663134","166840012","166840012","0","0","2018"
"CYCLING","INBOUND","1321732","11606878","5803439","0","0","2023"
"CYCLING","INBOUND","1301063","11768981","5884490.5","0","0","2022"
"CYCLING","INBOUND","1304098","11897335","5948667.5","0","0","2021"
"CYCLING","INBOUND","1203610","10764143","5382071.5","0","0","2020"
"CYCLING","INBOUND","1367539","12352632","6176316","0","0","2019"
"CYCLING","INBOUND","1200287","11307723","5653861.5","0","0","2018"
"CYCLING","OUTBOUND","1330406","11759876","5879938","0","0","2023"
"CYCLING","OUTBOUND","1300600","11991475","5995737.5","0","0","2022"
"CYCLING","OUTBOUND","1307236","12151894","6075947","0","0","2021"
"CYCLING","OUTBOUND","1207240","10882736","5441368","0","0","2020"
"CYCLING","OUTBOUND","1370178","12320935","6160467.5","0","0","2019"
"CYCLING","OUTBOUND","1199391","11302330","5651165","0","0","2018"
"CYCLING","TOTAL","48827439","191054626","179371249","0","0","2023"
"CYCLING","TOTAL","52279529","207926855","196046627","0","0","2022"
"CYCLING","TOTAL","51912875","205020180","192995565.5","0","0","2021"
"CYCLING","TOTAL","48856281","187887398","177063958.5","0","0","2020"
"CYCLING","TOTAL","61479344","210857578","198520794.5","0","0","2019"
"CYCLING","TOTAL","53062812","189450065","178145038.5","0","0","2018"
"ON FOOT","IN-BOUNDARY","526422236","494118390","494118390","0","0","2023"
"ON FOOT","IN-BOUNDARY","526438452","514699350","514699350","0","0","2022"
"ON FOOT","IN-BOUNDARY","426189496","444835842","444835842","0","0","2021"
"ON FOOT","IN-BOUNDARY","375970604","391125995","391125995","0","0","2020"
"ON FOOT","IN-BOUNDARY","608154158","535230515","535230515","0","0","2019"
"ON FOOT","IN-BOUNDARY","519931625","489625772","489625772","0","0","2018"
"ON FOOT","INBOUND","4802048","8122144","4061072","0","0","2023"
"ON FOOT","INBOUND","4478083","8150639","4075319.5","0","0","2022"
"ON FOOT","INBOUND","4233942","8445099","4222549.5","0","0","2021"
"ON FOOT","INBOUND","3860187","8121689","4060844.5","0","0","2020"
"ON FOOT","INBOUND","5636095","11182247","5591123.5","0","0","2019"
"ON FOOT","INBOUND","4984359","9261106","4630553","0","0","2018"
"ON FOOT","OUTBOUND","4630678","7715762","3857881","0","0","2023"
"ON FOOT","OUTBOUND","4285201","7678876","3839438","0","0","2022"
"ON FOOT","OUTBOUND","4059844","8041667","4020833.5","0","0","2021"
"ON FOOT","OUTBOUND","3728991","7724689","3862344.5","0","0","2020"
"ON FOOT","OUTBOUND","5836002","11157616","5578808","0","0","2019"
"ON FOOT","OUTBOUND","5013238","9296397","4648198.5","0","0","2018"
"ON FOOT","TOTAL","535854962","509956296","502037343","0","0","2023"
"ON FOOT","TOTAL","535201736","530528865","522614107.5","0","0","2022"
"ON FOOT","TOTAL","434483282","461322608","453079225","0","0","2021"
"ON FOOT","TOTAL","383559782","406972373","399049184","0","0","2020"
"ON FOOT","TOTAL","619626255","557570378","546400446.5","0","0","2019"
"ON FOOT","TOTAL","529929222","508183275","498904523.5","0","0","2018"
"RAIL","IN-BOUNDARY","14640176","127401520","127401520","0","0","2023"
"RAIL","IN-BOUNDARY","11771331","104492896","104492896","0","0","2022"
"RAIL","IN-BOUNDARY","7127687","66415559","66415559","0","0","2020"
"RAIL","IN-BOUNDARY","20262533","199176514","199176514","0","0","2019"
"RAIL","IN-BOUNDARY","16620443","149426397","149426397","0","0","2018"
"RAIL","INBOUND","8730599","576794452","288397226","0","0","2023"
"RAIL","INBOUND","7210599","493800372","246900186","0","0","2022"
"RAIL","INBOUND","3669442","240896728","120448364","0","0","2021"
"RAIL","INBOUND","3686307","228337882","114168941","0","0","2020"
"RAIL","INBOUND","9392102","578660805","289330402.5","0","0","2019"
"RAIL","INBOUND","7911905","516477263","258238631.5","0","0","2018"
"RAIL","OUTBOUND","8490734","571232667","285616333.5","0","0","2023"
"RAIL","OUTBOUND","6954768","484579870","242289935","0","0","2022"
"RAIL","OUTBOUND","3633520","242470699","121235349.5","0","0","2021"
"RAIL","OUTBOUND","3615646","229318815","114659407.5","0","0","2020"
"RAIL","OUTBOUND","9013797","573553920","286776960","0","0","2019"
"RAIL","OUTBOUND","7444458","485540048","242770024","0","0","2018"
"RAIL","TOTAL","31861509","1275428639","701415079.5","0","0","2023"
"RAIL","TOTAL","25936698","1082873138","593683017","0","0","2022"
"RAIL","TOTAL","7302962","483367427","241683713.5","0","0","2021"
"RAIL","TOTAL","14429640","524072256","295243907.5","0","0","2020"
"RAIL","TOTAL","38668432","1351391239","775283876.5","0","0","2019"
"RAIL","TOTAL","31976806","1151443708","650435052.5","0","0","2018"
"TRAM","IN-BOUNDARY","25350550","142062393","142062393","0","0","2023"
"TRAM","IN-BOUNDARY","21254154","122621917","122621917","0","0","2022"
"TRAM","IN-BOUNDARY","11932843","72152127","72152127","0","0","2021"
"TRAM","IN-BOUNDARY","14724199","86894725","86894725","0","0","2020"
"TRAM","IN-BOUNDARY","36405647","218955435","218955435","0","0","2019"
"TRAM","IN-BOUNDARY","27774302","154703942","154703942","0","0","2018"
"TRAM","INBOUND","721503","9626387","4813193.5","0","0","2018"
"TRAM","OUTBOUND","645014","8152738","4076369","0","0","2018"
"TRAM","TOTAL","25350550","142062393","142062393","0","0","2023"
"TRAM","TOTAL","21254154","122621917","122621917","0","0","2022"
"TRAM","TOTAL","11932843","72152127","72152127","0","0","2021"
"TRAM","TOTAL","14724199","86894725","86894725","0","0","2020"
"TRAM","TOTAL","36405647","218955435","218955435","0","0","2019"
"TRAM","TOTAL","29140819","172483067","163593504.5","0","0","2018"
