"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","21146427","78199947","78199947","14212.8479","14212.8479","2023"
"AUTOMOBILE","INBOUND","14894404","321008457","160504228.5","58343.3181","29171.6591","2023"
"AUTOMOBILE","OUTBOUND","14890992","315198623","157599311.5","57287.3802","28643.6901","2023"
"AUTOMOBILE","TOTAL","50931823","714407027","396303487","129843.5463","72028.1971","2023"
"BUS","IN-BOUNDARY","771180","3196358","3196358","2061.8972","2061.8972","2023"
"BUS","INBOUND","1346603","14882483","7441241.5","9600.3481","4800.174","2023"
"BUS","OUTBOUND","1297113","14430658","7215329","9308.8862","4654.4431","2023"
"BUS","TOTAL","3414896","32509499","17852928.5","20971.1314","11516.5143","2023"
"CYCLING","IN-BOUNDARY","975874","2559536","2559536","0","0","2023"
"CYCLING","INBOUND","326261","2472640","1236320","0","0","2023"
"CYCLING","OUTBOUND","325093","2457174","1228587","0","0","2023"
"CYCLING","TOTAL","1627228","7489350","5024443","0","0","2023"
"ON FOOT","IN-BOUNDARY","12858151","12668103","12668103","0","0","2023"
"ON FOOT","TOTAL","12858151","12668103","12668103","0","0","2023"
"RAIL","INBOUND","528905","6464357","3232178.5","0","0","2023"
"RAIL","OUTBOUND","523951","6307592","3153796","0","0","2023"
"RAIL","TOTAL","1052856","12771949","6385974.5","0","0","2023"
