"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","1314452148","17273276543","17273276543","3139419.6831","3139419.6831","2023"
"AUTOMOBILE","INBOUND","12968273","800546169","400273084.5","145499.3437","72749.6718","2023"
"AUTOMOBILE","OUTBOUND","12938127","793533649","396766824.5","144224.8175","72112.4087","2023"
"AUTOMOBILE","TOTAL","1340358548","18867356361","18070316452","3429143.8442","3284281.7636","2023"
"BUS","IN-BOUNDARY","51205940","607848539","607848539","392109.1369","392109.1369","2023"
"BUS","TOTAL","51205940","607848539","607848539","392109.1369","392109.1369","2023"
"CYCLING","IN-BOUNDARY","41536357","169073487","169073487","0","0","2023"
"CYCLING","TOTAL","41536357","169073487","169073487","0","0","2023"
"FERRYBOAT","INBOUND","626512","181734359","90867179.5","0","0","2023"
"FERRYBOAT","OUTBOUND","647928","197731498","98865749","0","0","2023"
"FERRYBOAT","TOTAL","1274440","379465857","189732928.5","0","0","2023"
"ON FOOT","IN-BOUNDARY","561186178","542319638","542319638","0","0","2023"
"ON FOOT","TOTAL","561186178","542319638","542319638","0","0","2023"
"RAIL","IN-BOUNDARY","17368794","670080630","670080630","0","0","2023"
"RAIL","INBOUND","289540","41791631","20895815.5","0","0","2023"
"RAIL","OUTBOUND","294684","42188836","21094418","0","0","2023"
"RAIL","TOTAL","17953018","754061097","712070863.5","0","0","2023"
